Cycle;meanVel;maxVel;minVel;stdVel;maxAccel;maxDecel;stdAccel;stdDecel;meanAccel;meanDecel;rAccel;rDecel;rStop;stopCnt;meanStopDur;meanGear;gearChg
6;25.77036587;26.777696;24.676608;0.428273634;0.22352;-0.22352;0.030736309;0.0312573;0.154432;-0.1519936;0.091666667;0.083333333;0;0;0;4.975;1
6;23.96655947;25.03424;21.45792;1.066288755;0.22352;-0.268224;0.044704;0.04591571;0.156464;-0.172429714;0.033333333;0.116666667;0;0;0;4.116666667;2
6;23.09445893;26.464768;20.56384;1.467525513;0.536448;-1.028192;0.090544332;0.249881226;0.21845917;-0.318516;0.441666667;0.2;0;0;0;4.116666667;1
7;5.557407408;13.58333333;0;5.2983624;1.972222222;-1.777777778;0.494486043;0.417158275;0.773391813;-0.605034722;0.316666667;0.266666667;0.35;2;21;1.708333333;7
7;3.164583333;11.41666667;0;3.624261702;2.861111111;-1.777777778;0.577586491;0.487094979;0.594729345;-0.662326389;0.325;0.266666667;0.341666667;3;13.66666667;1.225;3
7;6.081944445;14.5;0;4.489697042;2.444444444;-3.138888889;0.580443341;0.599784068;0.796485261;-0.781313131;0.408333333;0.458333333;0.1;3;4;1.716666667;11
7;10.15578704;16.02777778;0;4.322585812;2;-3.027777778;0.435351116;0.697004632;0.564646465;-0.723514212;0.458333333;0.358333333;0.058333333;1;7;2.3;10
7;4.134027778;12.86111111;0;4.747877066;1.916666667;-3;0.577380591;0.852244189;0.925396825;-1.154761905;0.291666667;0.291666667;0.4;3;16;1.483333333;13
7;1.422222222;11.58333333;0;2.911958986;2.166666667;-1.694444444;0.59703386;0.520696484;0.862179487;-1.072222222;0.216666667;0.083333333;0.716666667;3;28.66666667;1.133333333;4
7;4.049537037;11.69444444;0;3.492494849;2.138888889;-1.944444444;0.481588105;0.522339254;0.85380117;-0.832244009;0.316666667;0.425;0.208333333;2;12.5;1.333333333;8
7;4.540277778;12.22222222;0;3.709235413;2.361111111;-2.361111111;0.533011404;0.600495809;0.673850575;-0.693236715;0.483333333;0.383333333;0.125;6;2.5;1.416666667;9
8;5.825347222;15.51666667;0;4.839747849;2.188888889;-2.169444444;0.611614798;0.60908368;0.922321429;-1.145542636;0.466666667;0.358333333;0.166666667;4;5;1.633333333;14
8;7.012060185;14.10833333;0;4.508764109;2.502777778;-2.541666667;0.711084063;0.645121831;1.13031401;-0.894747475;0.383333333;0.458333333;0.125;3;5;1.875;16
9;12.35958333;23.26388889;0;7.12105775;2.877777778;-2.602777778;0.683968024;0.608828799;0.958487654;-0.8375;0.45;0.433333333;0.083333333;2;5;2.508333333;13
9;11.09907407;27.76666667;0;8.489147712;2.408333333;-2.711111111;0.612945715;0.748656464;0.971892655;-1.025595238;0.491666667;0.35;0.041666667;1;5;2.4;14
10;16.9394632;31.605728;0;9.744788134;3.755136;-2.592832;0.840716766;0.743450537;1.120394;-0.939715333;0.4;0.4;0.108333333;2;6.5;3.225;15
10;22.49430773;29.683456;0;9.190216099;3.084576;-2.101088;0.799632244;0.578805342;0.6453632;-0.578068966;0.458333333;0.241666667;0.066666667;1;8;4.166666667;7
10;30.65874827;35.897312;27.627072;2.6532637;1.251712;-1.430528;0.229836531;0.325152773;0.314830298;-0.41819871;0.391666667;0.258333333;0;0;0;5;0
10;29.70878827;32.723328;20.072096;2.498271656;0.357632;-1.519936;0.070576233;0.355121468;0.201806629;-0.389297333;0.291666667;0.4;0;0;0;4.941666667;1
11;11.99699074;19.36111111;0;5.654601218;1.666666667;-1.472222222;0.397226296;0.444944448;0.664570231;-0.662439613;0.441666667;0.383333333;0.033333333;1;4;2.416666667;8
11;21.12685185;27.05555556;3.333333333;7.187819136;1.416666667;-1.472222222;0.336724226;0.519897307;0.390740741;-0.733333333;0.5;0.041666667;0;0;0;3.966666667;6
11;21.18055556;26.44444444;7.583333333;3.700700424;0.555555556;-1.472222222;0.145667896;0.361022255;0.263888889;-0.378600823;0.116666667;0.45;0;0;0;3.908333333;3
11;6.878240741;15.25;0;5.106199411;1.111111111;-1.5;0.296780698;0.48565545;0.580006667;-0.684343434;0.416666667;0.275;0.225;1;27;1.841666667;11
11;26.28634259;34.36111111;14.63888889;6.332032763;0.972222222;-0.666666667;0.220580573;0.154327832;0.364197531;-0.258680556;0.6;0.266666667;0;0;0;4.425;4
11;33.38472222;36.47222222;27;2.619596662;0.388888889;-0.722222222;0.088949494;0.206093137;0.206790123;-0.451149425;0.3;0.241666667;0;0;0;5;0
12;19.59768519;32.30555556;2.863888889;7.417921394;2.608333333;-2.316666667;0.5323289;0.602837637;0.704401709;-0.597222222;0.541666667;0.291666667;0;0;0;3.65;10
12;32.88826389;37.34722222;27.78888889;2.221250005;0.9;-0.844444444;0.219680165;0.230226623;0.394557823;-0.371953405;0.408333333;0.258333333;0;0;0;5;0
