TotalTime;Phase;PhaseTime;Vel;Acc
160;Phase 1;160;20.921472;0.044704
161;Phase 1;161;20.966176;0.044704
162;Phase 1;162;21.01088;0.044704
163;Phase 1;163;21.055584;0.22352
164;Phase 1;164;21.279104;0.134112
165;Phase 1;165;21.413216;0.044704
166;Phase 1;166;21.45792;0
167;Phase 1;167;21.45792;-0.044704
168;Phase 1;168;21.413216;-0.044704
169;Phase 1;169;21.368512;-0.22352
170;Phase 1;170;21.144992;-0.268224
171;Phase 1;171;20.876768;-0.22352
172;Phase 1;172;20.653248;-0.134112
173;Phase 1;173;20.519136;-0.089408
174;Phase 1;174;20.429728;-0.089408
175;Phase 1;175;20.34032;-0.044704
176;Phase 1;176;20.295616;-0.044704
177;Phase 1;177;20.250912;-0.134112
178;Phase 1;178;20.1168;-0.44704
179;Phase 1;179;19.66976;-0.402336
180;Phase 1;180;19.267424;-0.402336
181;Phase 1;181;18.865088;-0.312928
182;Phase 1;182;18.55216;0
183;Phase 1;183;18.55216;0.268224
184;Phase 1;184;18.820384;0.357632
185;Phase 1;185;19.178016;0.268224
186;Phase 1;186;19.44624;0.178816
187;Phase 1;187;19.625056;-0.134112
188;Phase 1;188;19.490944;-0.134112
189;Phase 1;189;19.356832;-0.134112
190;Phase 1;190;19.22272;0.044704
191;Phase 1;191;19.267424;0.134112
192;Phase 1;192;19.401536;0.22352
193;Phase 1;193;19.625056;0.178816
194;Phase 1;194;19.803872;0.134112
195;Phase 1;195;19.937984;0.134112
196;Phase 1;196;20.072096;-0.044704
197;Phase 1;197;20.027392;-0.178816
198;Phase 1;198;19.848576;-0.22352
199;Phase 1;199;19.625056;-0.22352
200;Phase 1;200;19.401536;-0.089408
201;Phase 1;201;19.312128;0
202;Phase 1;202;19.312128;-0.044704
203;Phase 1;203;19.267424;-0.044704
204;Phase 1;204;19.22272;0
205;Phase 1;205;19.22272;0.044704
206;Phase 1;206;19.267424;0.134112
207;Phase 1;207;19.401536;0.22352
208;Phase 1;208;19.625056;0.044704
209;Phase 1;209;19.66976;-0.22352
210;Phase 1;210;19.44624;-0.402336
211;Phase 1;211;19.043904;-0.491744
212;Phase 1;212;18.55216;-0.357632
213;Phase 1;213;18.194528;-0.312928
214;Phase 1;214;17.8816;0
215;Phase 1;215;17.8816;0.134112
216;Phase 1;216;18.015712;0.312928
217;Phase 1;217;18.32864;0.44704
218;Phase 1;218;18.77568;0.312928
219;Phase 1;219;19.088608;0.178816
220;Phase 1;220;19.267424;0.044704
221;Phase 1;221;19.312128;0.089408
222;Phase 1;222;19.401536;0.22352
223;Phase 1;223;19.625056;0.178816
224;Phase 1;224;19.803872;0.178816
225;Phase 1;225;19.982688;0.178816
226;Phase 1;226;20.161504;0.134112
227;Phase 1;227;20.295616;0.178816
228;Phase 1;228;20.474432;0.312928
229;Phase 1;229;20.78736;0.178816
230;Phase 1;230;20.966176;0.134112
231;Phase 1;231;21.100288;0.089408
232;Phase 1;232;21.189696;-0.044704
233;Phase 1;233;21.144992;0
234;Phase 1;234;21.144992;-0.044704
235;Phase 1;235;21.100288;0
236;Phase 1;236;21.100288;0
237;Phase 1;237;21.100288;-0.044704
238;Phase 1;238;21.055584;-0.044704
239;Phase 1;239;21.01088;0
240;Phase 1;240;21.01088;-0.044704
241;Phase 1;241;20.966176;-0.044704
242;Phase 1;242;20.921472;0.044704
243;Phase 1;243;20.966176;0.044704
244;Phase 1;244;21.01088;0.089408
