TotalTime;Phase;PhaseTime;Vel;Acc
174;Phase 1;174;7.59968;-1.385824
175;Phase 1;175;6.213856;0.089408
176;Phase 1;176;6.303264;0.22352
177;Phase 1;177;6.526784;0
178;Phase 1;178;6.526784;-0.044704
179;Phase 1;179;6.48208;-0.044704
180;Phase 1;180;6.437376;-0.089408
181;Phase 1;181;6.347968;0
182;Phase 1;182;6.347968;-0.44704
183;Phase 1;183;5.900928;-0.759968
184;Phase 1;184;5.14096;-1.385824
185;Phase 1;185;3.755136;-1.296416
186;Phase 1;186;2.45872;-0.804672
187;Phase 1;187;1.654048;-0.357632
188;Phase 1;188;1.296416;-0.715264
189;Phase 1;189;0.581152;-0.22352
190;Phase 1;190;0.357632;-0.22352
191;Phase 1;191;0.134112;-0.089408
192;Phase 1;192;0.044704;0
193;Phase 1;193;0.044704;-0.044704
194;Phase 1;194;0;0.581152
195;Phase 1;195;0.581152;1.162304
196;Phase 1;196;1.743456;2.68224
197;Phase 1;197;4.425696;2.68224
198;Phase 1;198;7.107936;1.519936
199;Phase 1;199;8.627872;0.625856
200;Phase 1;200;9.253728;0.312928
201;Phase 1;201;9.566656;0
202;Phase 1;202;9.566656;-0.402336
203;Phase 1;203;9.16432;-0.67056
204;Phase 1;204;8.49376;-1.028192
205;Phase 1;205;7.465568;-1.609344
206;Phase 1;206;5.856224;-0.849376
207;Phase 1;207;5.006848;1.654048
208;Phase 1;208;6.660896;2.190496
209;Phase 1;209;8.851392;1.78816
210;Phase 1;210;10.639552;0.849376
211;Phase 1;211;11.488928;0.22352
212;Phase 1;212;11.712448;0.089408
213;Phase 1;213;11.801856;-1.385824
214;Phase 1;214;10.416032;-1.654048
215;Phase 1;215;8.761984;-0.312928
216;Phase 1;216;8.449056;0.178816
217;Phase 1;217;8.627872;0.044704
218;Phase 1;218;8.672576;-0.402336
219;Phase 1;219;8.27024;-0.44704
220;Phase 1;220;7.8232;-0.491744
221;Phase 1;221;7.331456;-0.357632
222;Phase 1;222;6.973824;0
223;Phase 1;223;6.973824;0.178816
224;Phase 1;224;7.15264;0.357632
225;Phase 1;225;7.510272;0.312928
226;Phase 1;226;7.8232;0.22352
227;Phase 1;227;8.04672;0.715264
228;Phase 1;228;8.761984;0.938784
229;Phase 1;229;9.700768;0.804672
