Cycle;meanVel;maxVel;minVel;stdVel;maxAccel;maxDecel;stdAccel;stdDecel;meanAccel;meanDecel;rAccel;rDecel;rStop;stopCnt;meanStopDur;meanGear;gearChg
4;8.788377193;15.80555556;0;4.56580862;1.583333333;-1.472222222;0.428780215;0.400310784;0.588566828;-0.667328042;0.456953642;0.278145695;0.072847682;1;11;2.144736842;14
4;9.677814327;15.80555556;3.333333333;3.812788548;1.444444444;-1.472222222;0.397077779;0.433191223;0.540441176;-0.751666667;0.450331126;0.331125828;0;0;0;2.256578947;15
4;10.01297515;18.33333333;3.333333333;4.344041502;1.444444444;-1.472222222;0.38872774;0.437865163;0.595410628;-0.791919192;0.456953642;0.364238411;0;0;0;2.256578947;16
4;10.36750731;18.33333333;3.333333333;4.298952864;1.444444444;-1.472222222;0.352473206;0.45497041;0.564574315;-0.759259259;0.509933775;0.317880795;0;0;0;2.328947368;15
4;12.45979532;20.22222222;3.333333333;4.372292824;1.444444444;-1.472222222;0.341444297;0.470420025;0.480864198;-0.853174603;0.59602649;0.231788079;0;0;0;2.611842105;12
4;14.57017544;21.27777778;3.333333333;4.516598295;1.444444444;-1.472222222;0.340433439;0.491077775;0.457967836;-0.640022676;0.503311258;0.324503311;0;0;0;2.842105263;10
4;15.64272661;21.27777778;4.722222222;3.690747581;1.027777778;-1.472222222;0.253131371;0.464757775;0.393393393;-0.57349537;0.490066225;0.317880795;0;0;0;2.980263158;6
4;15.3870614;21.27777778;4.722222222;3.741211694;1.027777778;-1.472222222;0.24485518;0.475115097;0.376984127;-0.527777778;0.417218543;0.390728477;0;0;0;2.953947368;7
4;14.77613304;21.27777778;0;5.035283724;1.611111111;-1.5;0.353360771;0.486148503;0.423202614;-0.547863248;0.337748344;0.430463576;0.026490066;1;4;2.868421053;6
4;11.24104532;21.27777778;0;7.447738913;1.611111111;-1.5;0.436759367;0.486148503;0.587777778;-0.547863248;0.165562914;0.430463576;0.231788079;1;35;2.421052632;5
5;17.57351421;31.97222222;0;9.993332974;1.861111111;-2.416666667;0.408830455;0.514739088;0.578373016;-0.572033898;0.523364486;0.275700935;0.051401869;2;5.5;3.376744186;12
5;28.56343669;36.41666667;10.19444444;6.927824789;1.194444444;-1.194444444;0.270743662;0.271016128;0.413773148;-0.316570881;0.448598131;0.271028037;0;0;0;4.623255814;4
5;33.86627907;36.41666667;29.52777778;1.879873342;0.694444444;-0.805555556;0.133178401;0.13068143;0.238363363;-0.197530864;0.345794393;0.294392523;0;0;0;5;0
5;34.11860465;36.61111111;23.22222222;2.912398817;0.833333333;-2.305555556;0.143184489;0.408437165;0.243781094;-0.337893864;0.313084112;0.313084112;0;0;0;4.976744186;2
5;31.80400517;36.61111111;12.75;4.269321004;0.833333333;-3.361111111;0.166230085;0.607793294;0.315068493;-0.580520394;0.341121495;0.369158879;0;0;0;4.920930233;4
5;28.40465116;33.36111111;11.91666667;4.398201297;1.277777778;-3.361111111;0.293747856;0.64532338;0.397147147;-0.633578431;0.518691589;0.317757009;0;0;0;4.804651163;6
5;30.35413437;36.16666667;11.91666667;5.251742926;1.277777778;-3.361111111;0.321213317;0.589940447;0.34004884;-0.43627451;0.425233645;0.317757009;0;0;0;4.827906977;4
5;33.5630491;36.16666667;29.52777778;1.64418503;0.583333333;-0.972222222;0.113172243;0.199059062;0.237156511;-0.275641026;0.434579439;0.303738318;0;0;0;5;0
5;30.62751938;36.16666667;14.66666667;5.52240694;1.055555556;-2.25;0.224978623;0.399114971;0.350562588;-0.441830065;0.369158879;0.397196262;0;0;0;4.730232558;4
5;21.22118863;36.16666667;2.777777778;9.867652406;1.916666667;-3.194444444;0.406348449;0.61043836;0.536805556;-0.725555556;0.373831776;0.46728972;0;0;0;3.702325581;20
6;18.43302988;22.12848;0;4.477880715;1.430528;-1.207008;0.352625635;0.280824951;0.382319284;-0.329692;0.364130435;0.130434783;0.016304348;1;3;3.497297297;6
6;20.4135379;22.12848;17.43456;1.1508413;0.491744;-1.207008;0.091349611;0.251185457;0.203276679;-0.317119;0.288043478;0.173913043;0;0;0;3.772972973;10
6;19.56681998;21.949664;12.695936;2.010435269;0.983488;-1.207008;0.20255524;0.230640571;0.287492966;-0.361281306;0.315217391;0.266304348;0;0;0;3.621621622;12
6;21.11430331;26.37536;12.695936;3.270253826;0.983488;-0.849376;0.193525539;0.176068489;0.281923613;-0.343662;0.336956522;0.173913043;0;0;0;3.956756757;8
6;23.09336147;26.777696;12.695936;3.726748782;0.983488;-0.849376;0.209366151;0.195375042;0.289261176;-0.325700571;0.277173913;0.152173913;0;0;0;4.416216216;3
6;25.36190824;26.777696;20.78736;1.072677755;0.312928;-0.22352;0.078065298;0.030139431;0.217751742;-0.150368;0.168478261;0.059782609;0;0;0;4.762162162;2
6;25.21740558;26.777696;23.335488;0.787579673;0.22352;-0.22352;0.029077432;0.029887213;0.151305846;-0.152738667;0.070652174;0.065217391;0;0;0;4.578378378;3
6;23.97680917;26.062432;20.608544;1.455635353;0.536448;-0.402336;0.117953389;0.088348916;0.246936381;-0.197442667;0.114130435;0.130434783;0;0;0;4.232432432;3
6;23.16754595;25.03424;20.56384;1.292497868;0.536448;-1.028192;0.096488029;0.213094277;0.222526578;-0.268224;0.244565217;0.201086957;0;0;0;4.075675676;2
6;21.88732004;26.464768;1.475232;4.366743719;0.536448;-1.475232;0.089580929;0.411269028;0.2170176;-0.469996108;0.298913043;0.402173913;0;0;0;3.956756757;5
7;4.031116453;13.58333333;0;4.80237306;2.861111111;-1.777777778;0.538549627;0.459509011;0.716475096;-0.675438596;0.280193237;0.275362319;0.400966184;4;20.75;1.461538462;8
7;4.823584402;13.58333333;0;4.486017895;2.861111111;-1.833333333;0.615482909;0.432224397;0.704616588;-0.626296296;0.342995169;0.362318841;0.236714976;5;9.8;1.509615385;12
7;6.046073718;16.02777778;0;5.089722791;2.861111111;-3.138888889;0.591874287;0.585694072;0.728505291;-0.702269171;0.405797101;0.342995169;0.198067633;4;10.25;1.682692308;14
7;7.755074787;16.02777778;0;5.082294909;2.444444444;-3.138888889;0.530694614;0.674706644;0.706560284;-0.785968661;0.45410628;0.376811594;0.09178744;4;4.75;1.951923077;17
7;8.480902778;16.02777778;0;5.17019655;2;-3.138888889;0.51629894;0.842917109;0.710917313;-0.955638474;0.415458937;0.323671498;0.173913043;2;18;2.100961538;22
7;4.428819444;13.66666667;0;4.966134938;2.166666667;-3;0.584213117;0.782228043;0.878367003;-1.037698413;0.31884058;0.270531401;0.38647343;6;13.33333333;1.533653846;18
7;2.756009615;12.83333333;0;4.040330756;2.166666667;-2.5;0.609393431;0.648349871;0.861111111;-1.011243386;0.260869565;0.202898551;0.54589372;5;22.6;1.293269231;14
7;2.914930556;11.69444444;0;3.623878184;2.166666667;-1.944444444;0.525832614;0.532106432;0.865421456;-0.892156863;0.280193237;0.246376812;0.458937198;4;23.75;1.269230769;11
7;3.805021367;11.69444444;0;3.647245776;2.138888889;-1.944444444;0.477152681;0.491657972;0.690849673;-0.707001522;0.410628019;0.352657005;0.222222222;8;5.75;1.341346154;11
