Cycle;meanVel;maxVel;minVel;stdVel;maxAccel;maxDecel;stdAccel;stdDecel;meanAccel;meanDecel;rAccel;rDecel;rStop;stopCnt;meanStopDur;meanGear;gearChg
1;1.947761123;10.237216;0;2.65672685;2.503424;-2.056384;0.53332203;0.602726638;0.97991168;-0.907118667;0.221238938;0.212389381;0.513274336;2;29;1.105263158;4
1;4.160609123;11.265408;0;3.322401779;2.503424;-2.056384;0.562979739;0.546801733;0.808736;-0.683644098;0.389380531;0.362831858;0.132743363;2;7.5;1.298245614;9
1;5.587215719;11.801856;0;3.546036275;2.68224;-1.654048;0.705969786;0.411211274;0.800310634;-0.578358;0.362831858;0.424778761;0.03539823;2;2;1.552631579;11
1;5.443300211;11.801856;0;4.068558712;2.68224;-2.637536;0.721179435;0.573390308;0.770805333;-0.72062848;0.292035398;0.442477876;0.14159292;3;5.333333333;1.605263158;11
1;4.562160842;11.801856;0;3.883046712;2.2352;-2.637536;0.569402087;0.55762886;0.67056;-0.704088;0.309734513;0.424778761;0.221238938;3;8.333333333;1.447368421;8
1;2.736355368;10.013696;0;3.371478675;2.2352;-1.385824;0.63416443;0.368076723;0.758248615;-0.584877333;0.230088496;0.318584071;0.424778761;3;16;1.210526316;4
1;1.970897404;7.063232;0;2.359836176;1.609344;-1.34112;0.415124325;0.344388019;0.5766816;-0.579023238;0.265486726;0.185840708;0.495575221;2;28;1.096491228;4
1;1.826981895;7.063232;0;2.450722948;1.430528;-1.475232;0.332146398;0.345142369;0.483616;-0.5431536;0.194690265;0.17699115;0.566371681;1;64;1.105263158;6
1;2.297158175;9.38784;0;2.983981495;1.475232;-2.45872;0.367131381;0.622420081;0.514773333;-0.785758769;0.292035398;0.230088496;0.451327434;2;25.5;1.175438596;5
1;3.144573474;12.383008;0;3.978813036;1.832864;-2.45872;0.456098863;0.658386294;0.649384421;-0.949100308;0.336283186;0.230088496;0.415929204;2;23.5;1.315789474;6
2;5.434119961;12.36111111;0;4.163208212;1.333333333;-1.472222222;0.352104998;0.374837863;0.536265432;-0.563492064;0.321428571;0.3125;0.232142857;1;26;1.539823009;6
2;4.032202556;10.97222222;0;3.782850612;1.555555556;-1.472222222;0.336767288;0.462447862;0.551900585;-0.641111111;0.339285714;0.223214286;0.348214286;1;39;1.345132743;5
2;4.667649951;13.08333333;0;3.819375774;1.555555556;-1.472222222;0.297808934;0.39625741;0.539444445;-0.595959596;0.446428571;0.196428571;0.294642857;1;33;1.477876106;6
2;8.712881023;15.69444444;3.333333333;3.864531164;1.055555556;-1.138888889;0.255739037;0.277384872;0.487037037;-0.49375;0.535714286;0.357142857;0;0;0;2.017699115;8
2;10.80653884;15.69444444;4.027777778;3.188471229;1.083333333;-1.5;0.309474482;0.304476939;0.561507937;-0.449317739;0.375;0.508928571;0;0;0;2.460176991;8
2;8.691494592;13.83333333;3.972222222;2.879746395;1.083333333;-1.5;0.334003536;0.315484426;0.596354167;-0.410555556;0.285714286;0.446428571;0;0;0;2.185840708;6
2;5.222959685;10.38888889;0;2.416394291;1.194444444;-1;0.36266245;0.208717207;0.488888889;-0.383219955;0.267857143;0.4375;0.053571429;1;6;1.513274336;5
2;3.166666667;9.305555556;0;3.044458112;1.333333333;-1.472222222;0.410895009;0.36226128;0.586805556;-0.50997151;0.214285714;0.348214286;0.348214286;2;19.5;1.265486726;5
2;1.996066863;9.305555556;0;2.994467054;1.444444444;-1.472222222;0.481182498;0.437851744;0.779761905;-0.592592593;0.125;0.241071429;0.598214286;1;67;1.159292035;4
2;1.780481809;6.805555556;0;2.344711266;1.611111111;-1.472222222;0.497838444;0.431407346;0.729532164;-0.533119658;0.169642857;0.232142857;0.544642857;2;30.5;1.10619469;4
3;8.991308793;19.75;0;5.925984215;2.361111111;-4.083333333;0.533132277;0.722175808;0.710714286;-0.799180328;0.432098765;0.37654321;0.141975309;3;7.666666667;2.134969325;18
3;13.11434901;21.36111111;0;6.548922641;2.361111111;-4.083333333;0.551275422;0.769154165;0.722983257;-0.61163522;0.450617284;0.327160494;0.080246914;2;6.5;2.656441718;15
3;16.96029312;21.36111111;9.472222222;2.835939402;1.416666667;-3.611111111;0.361094716;0.571519278;0.487922705;-0.453096539;0.425925926;0.37654321;0;0;0;3.122699387;8
3;18.35241991;23.27777778;12.08333333;2.442215363;1.222222222;-0.694444444;0.252476174;0.160552943;0.323446328;-0.270408163;0.364197531;0.302469136;0;0;0;3.239263804;6
3;15.70330607;20.19444444;7.472222222;3.322128667;1.166666667;-1.916666667;0.306925514;0.457170077;0.356884058;-0.436011905;0.283950617;0.345679012;0;0;0;2.920245399;7
3;11.44359236;19.02777778;0;4.946151528;1.916666667;-1.805555556;0.352242657;0.439202664;0.427083333;-0.487599207;0.444444444;0.345679012;0.030864198;1;5;2.484662577;6
3;16.7791411;25.08333333;5.611111111;4.046278408;1.111111111;-2.527777778;0.265643324;0.483081059;0.479166667;-0.46572104;0.543209877;0.290123457;0;0;0;3.165644172;6
3;22.54856851;30.97222222;10.83333333;5.397435475;1.027777778;-2.527777778;0.234573886;0.487545177;0.480994152;-0.545498084;0.469135802;0.358024691;0;0;0;4.036809816;11
3;24.29107021;30.97222222;14.86111111;3.908370682;1.027777778;-0.777777778;0.21573222;0.14699077;0.375213675;-0.309156378;0.401234568;0.333333333;0;0;0;4.251533742;5
3;16.86486026;25.13888889;0;6.808356214;2.194444444;-2.805555556;0.446530316;0.678915023;0.513626834;-0.691019787;0.327160494;0.450617284;0.024691358;1;4;3.202453988;11
4;9.403061225;15.80555556;0;5.147069037;1.583333333;-1.472222222;0.476361167;0.424778586;0.632275132;-0.722222222;0.432989691;0.278350515;0.113402062;1;11;2.234693878;9
4;9.066609977;15.80555556;3.333333333;4.068143584;1.388888889;-1.472222222;0.350524167;0.385868196;0.49870801;-0.728978979;0.443298969;0.381443299;0;0;0;2.102040816;11
4;8.583333333;13.83333333;3.333333333;3.349725825;1.388888889;-1.472222222;0.369704385;0.44831575;0.554924242;-0.712962963;0.453608247;0.340206186;0;0;0;2.102040816;11
4;10.7670068;18.33333333;3.333333333;4.819874404;1.444444444;-1.472222222;0.395730027;0.484165081;0.583333333;-0.794642857;0.484536082;0.288659794;0;0;0;2.357142857;9
4;12.20663265;18.33333333;3.333333333;3.953487098;1.444444444;-1.472222222;0.368189385;0.482841507;0.558278867;-0.853298611;0.525773196;0.329896907;0;0;0;2.591836735;8
4;14.83786848;21.27777778;4.722222222;4.002446699;1.027777778;-1.472222222;0.253682485;0.484315208;0.382969035;-0.775252525;0.628865979;0.226804124;0;0;0;2.908163265;5
4;15.58219955;21.27777778;4.722222222;4.333867339;0.944444444;-1.472222222;0.238878789;0.473984693;0.367021277;-0.550179211;0.484536082;0.319587629;0;0;0;2.969387755;6
4;17.26530612;21.27777778;11.47222222;2.313348945;1.027777778;-1.472222222;0.223749225;0.330076368;0.356902357;-0.321225071;0.340206186;0.402061856;0;0;0;3.163265306;2
4;13.95153061;19.08333333;1.527777778;4.167719056;1.611111111;-1.5;0.436759367;0.51393111;0.587777778;-0.612159329;0.257731959;0.546391753;0;0;0;2.755102041;4
4;7.902494331;18.08333333;0;7.111359716;1.611111111;-1.5;0.551860608;0.516518031;0.699074074;-0.633468835;0.12371134;0.422680412;0.360824742;1;35;2;4
5;13.33885438;28.61111111;0;7.808302465;1.861111111;-2.416666667;0.412205573;0.5238733;0.669507576;-0.637799564;0.55;0.31875;0.06875;2;5.5;2.832298137;12
5;27.23205659;35.69444444;10.19444444;6.529764333;1.194444444;-1.194444444;0.282203017;0.260928079;0.4498557;-0.343304843;0.48125;0.24375;0;0;0;4.571428571;4
5;33.73671498;36.41666667;29.52777778;1.906408961;0.694444444;-0.805555556;0.150259565;0.141532574;0.25154321;-0.194444445;0.3375;0.325;0;0;0;5;0
5;35.10576259;36.61111111;33.36111111;0.69826391;0.416666667;-0.416666667;0.063283819;0.078721809;0.190656566;-0.205439815;0.275;0.3;0;0;0;5;0
5;32.23188406;36.61111111;23.22222222;3.369609122;0.833333333;-2.305555556;0.173952761;0.44243797;0.333788707;-0.475890985;0.38125;0.33125;0;0;0;4.968944099;2
5;28.25655625;33.25;11.91666667;4.8252172;1.277777778;-3.361111111;0.329225607;0.616837521;0.434814815;-0.592424242;0.46875;0.34375;0;0;0;4.770186335;4
5;31.49844721;36.16666667;19.44444444;3.291163007;1.277777778;-0.833333333;0.262081789;0.164525789;0.285161744;-0.205705706;0.49375;0.23125;0;0;0;4.956521739;2
5;33.86197377;36.16666667;30.94444444;1.248422702;0.583333333;-0.972222222;0.117541247;0.187240518;0.23269581;-0.266762452;0.38125;0.3625;0;0;0;5;0
5;29.70514148;36.16666667;14.66666667;5.881282809;1.055555556;-2.25;0.240618891;0.434127634;0.358119658;-0.514756944;0.40625;0.4;0;0;0;4.652173913;3
5;16.9889579;32.94444444;2.777777778;7.614677084;1.916666667;-3.194444444;0.434520248;0.637790324;0.665123457;-0.760732323;0.3375;0.55;0;0;0;3.267080745;20
6;17.81607963;22.12848;0;5.138433522;1.430528;-0.22352;0.390276916;0.031610502;0.416091077;-0.163914667;0.4;0.069230769;0.023076923;1;3;3.419847328;3
6;20.5645225;22.12848;17.43456;1.167977148;0.491744;-1.207008;0.098875244;0.270769769;0.211598933;-0.309616593;0.230769231;0.207692308;0;0;0;3.824427481;6
6;20.16286901;21.949664;17.43456;1.180244721;0.491744;-0.491744;0.09443908;0.107970418;0.222455619;-0.2592832;0.323076923;0.192307692;0;0;0;3.702290076;9
6;20.03865331;25.615392;12.695936;2.737978409;0.983488;-0.849376;0.200981343;0.178305825;0.29968237;-0.37087763;0.415384615;0.207692308;0;0;0;3.732824427;5
6;22.73215463;26.37536;12.695936;4.051950642;0.983488;-0.849376;0.217816331;0.206271426;0.304980622;-0.36827581;0.346153846;0.161538462;0;0;0;4.358778626;3
6;25.7856767;26.777696;24.631904;0.433886259;0.22352;-0.22352;0.030736309;0.030139431;0.154432;-0.150368;0.084615385;0.084615385;0;0;0;4.969465649;1
6;25.23694363;26.777696;24.14016;0.773089886;0.178816;-0.22352;0.025809866;0.036500663;0.149013333;-0.163914667;0.023076923;0.046153846;0;0;0;4.541984733;3
6;23.50850272;25.03424;20.608544;1.38093896;0.536448;-0.402336;0.132750422;0.098181316;0.280416;-0.208618667;0.084615385;0.138461538;0;0;0;4.106870229;2
6;22.59872513;24.766016;20.56384;1.05418281;0.536448;-1.028192;0.099365848;0.214891634;0.231543795;-0.271949333;0.3;0.276923077;0;0;0;4;0
6;21.80394944;26.464768;1.475232;5.157688821;0.312928;-1.475232;0.060697559;0.435377865;0.192933053;-0.526762133;0.292307692;0.461538462;0;0;0;3.938931298;5
7;5.16991342;13.58333333;0;5.069155764;1.972222222;-1.777777778;0.485168639;0.447666794;0.711111111;-0.669082125;0.294117647;0.300653595;0.339869281;3;17.33333333;1.623376623;8
7;4.765151515;13.58333333;0;4.663804249;2.861111111;-1.777777778;0.561330019;0.440297892;0.66468254;-0.6;0.366013072;0.294117647;0.267973856;3;13.66666667;1.506493506;6
7;4.620670996;12.63888889;0;4.039479009;2.861111111;-2.305555556;0.674836787;0.47758394;0.767241379;-0.652777778;0.379084967;0.366013072;0.215686275;4;8.25;1.454545455;11
7;8.320887446;16.02777778;0;4.893984234;2.444444444;-3.138888889;0.541368729;0.721486598;0.697869102;-0.836629002;0.477124183;0.385620915;0.058823529;2;4.5;2.006493506;14
7;8.021825397;16.02777778;0;5.365628743;2;-3.027777778;0.480200304;0.836756529;0.617521368;-0.895178197;0.339869281;0.346405229;0.209150327;2;16;2.019480519;14
7;4.270021645;13.66666667;0;4.942039284;1.916666667;-3;0.584047824;0.828864499;0.856837607;-1.089793282;0.254901961;0.281045752;0.437908497;3;22.33333333;1.512987013;14
7;1.023989899;9.25;0;1.95147879;2.166666667;-2.194444444;0.609177204;0.667364604;0.908119658;-0.973333333;0.169934641;0.163398693;0.68627451;4;26.25;1.058441558;4
7;2.959054834;11.69444444;0;3.733084982;2.138888889;-1.944444444;0.487626853;0.551993509;0.817375887;-0.940972222;0.307189542;0.209150327;0.464052288;2;35.5;1.266233766;9
7;3.504148629;11.05555556;0;3.4336981;2.138888889;-1.916666667;0.472549867;0.489417221;0.699834162;-0.723290598;0.437908497;0.339869281;0.202614379;7;4.428571429;1.292207792;7
7;4.733585859;12.22222222;0;3.575093567;2.361111111;-2.361111111;0.512519109;0.567878894;0.649572649;-0.691498316;0.424836601;0.431372549;0.124183007;7;2.714285714;1.474025974;10
8;6.422883598;15.51666667;0;4.829389242;2.15;-2.102777778;0.625051479;0.58137454;0.969736842;-1.057539682;0.457831325;0.421686747;0.120481928;2;5;1.678571429;10
8;6.57146164;15.51666667;0;4.970309912;2.188888889;-2.169444444;0.597693447;0.63200969;1.021783626;-1.166825397;0.457831325;0.421686747;0.120481928;2;5;1.738095238;11
8;6.483564815;15.51666667;0;5.191402946;2.188888889;-2.169444444;0.629780977;0.642618395;1.007622739;-1.100383142;0.518072289;0.34939759;0.120481928;2;5;1.75;10
8;6.389748677;15.51666667;0;5.316190778;2.502777778;-2.541666667;0.715233591;0.683507831;1.073655914;-1.194365079;0.373493976;0.421686747;0.180722892;3;5;1.773809524;10
8;7.538161375;14.10833333;0;4.731648755;2.502777778;-2.541666667;0.677713225;0.737862291;0.952350427;-1.215143369;0.469879518;0.373493976;0.120481928;2;5;1.988095238;12
8;7.372949735;14.10833333;0;4.339136589;2.502777778;-2.541666667;0.711831616;0.649226398;1.013643791;-0.879305556;0.409638554;0.481927711;0.060240964;1;5;1.916666667;12
8;6.841170635;13.8;0;4.447045197;2.502777778;-2.541666667;0.691540467;0.637750377;1.060437711;-0.914837398;0.397590361;0.493975904;0.120481928;2;5;1.857142857;12
8;6.580555556;13.8;0;4.151824726;2.463888889;-2.486111111;0.644874472;0.604922141;1.050892857;-0.824483204;0.337349398;0.518072289;0.120481928;2;5;1.797619048;11
8;5.908035714;13.8;0;4.443658503;2.463888889;-2.338888889;0.64490325;0.598497926;1.080235043;-0.873809524;0.313253012;0.506024096;0.180722892;3;5;1.726190476;9
