Cycle;meanVel;maxVel;minVel;stdVel;maxAccel;maxDecel;stdAccel;stdDecel;meanAccel;meanDecel;rAccel;rDecel;rStop;stopCnt;meanStopDur;meanGear;gearChg
1;0.7465568;5.543296;0;1.498622361;1.251712;-0.625856;0.407790444;0.254197704;0.7644384;-0.342730667;0.166666667;0.05;0.766666667;1;46;1;0
1;3.223903467;10.237216;0;2.865706027;2.503424;-2.056384;0.54143756;0.610606461;1.107081412;-0.948944;0.283333333;0.366666667;0.2;1;12;1.2;3
1;5.926260267;11.265408;0;3.520962149;2.101088;-1.385824;0.511081415;0.299587624;0.55394087;-0.445177333;0.383333333;0.4;0.05;1;3;1.583333333;5
1;6.596820267;11.801856;0;3.590124761;2.68224;-2.637536;0.806089925;0.616441712;0.938784;-0.931076414;0.366666667;0.483333333;0.033333333;2;1;1.766666667;9
1;3.9607744;10.013696;0;3.855762661;2.2352;-1.1176;0.671483073;0.333222983;0.750556632;-0.455555048;0.316666667;0.35;0.25;2;7.5;1.366666667;2
1;1.709182933;6.124448;0;1.939426263;1.609344;-1.385824;0.46688812;0.364989822;0.711825231;-0.6996176;0.216666667;0.333333333;0.45;2;13.5;1.033333333;2
1;1.624245333;5.945632;0;2.203756757;1.430528;-0.536448;0.379123333;0.15253734;0.598345846;-0.346456;0.216666667;0.133333333;0.566666667;1;34;1.05;2
1;1.847020267;7.063232;0;2.635107583;0.581152;-1.475232;0.147327396;0.379545472;0.317895111;-0.674285333;0.15;0.2;0.6;1;36;1.15;4
1;3.023480533;9.38784;0;3.207471057;1.475232;-2.45872;0.376251126;0.775769441;0.587318069;-0.881307429;0.483333333;0.233333333;0.25;2;7.5;1.216666667;2
2;5.67037037;12.36111111;0;4.121879401;1.333333333;-1.083333333;0.388785804;0.299318019;0.585858586;-0.524509804;0.366666667;0.283333333;0.183333333;1;11;1.616666667;4
2;4.563888889;10.97222222;0;4.311464871;0.916666667;-1.472222222;0.280911807;0.440148652;0.458333334;-0.600308642;0.233333333;0.3;0.366666667;1;22;1.4;2
2;4.735648148;10.55555556;0;3.692344644;1.555555556;-1.472222222;0.342271863;0.467144416;0.556481482;-0.77020202;0.5;0.183333333;0.283333333;1;17;1.5;3
2;9.644907407;15.69444444;3.333333333;4.647056286;0.888888889;-0.777777778;0.244836343;0.205926645;0.406481482;-0.436111111;0.5;0.333333333;0;0;0;2.166666667;3
2;9.431944445;13.83333333;4.027777778;3.172189426;1.083333333;-1.5;0.259617148;0.372912079;0.736714976;-0.550595238;0.383333333;0.466666667;0;0;0;2.25;6
2;7.809259259;13.08333333;3.972222222;2.48551183;0.916666667;-0.833333333;0.316105741;0.190778725;0.398148148;-0.323476703;0.15;0.516666667;0;0;0;1.966666667;3
2;3.983333333;7.111111111;0;2.310732621;1.194444444;-1;0.392352174;0.206282775;0.520061728;-0.402777778;0.3;0.466666667;0.1;1;6;1.35;3
2;2.38287037;9.305555556;0;3.467667791;1.333333333;-1.472222222;0.434850147;0.514793531;0.787037037;-0.66468254;0.1;0.233333333;0.6;1;36;1.216666667;2
2;1.37037037;6.416666667;0;2.159142778;1.611111111;-1.194444444;0.478736579;0.35820509;0.855555556;-0.553030303;0.25;0.183333333;0.566666667;2;17;1.1;3
